Rank,Address,Protocol/Description,Fees Last 24hrs (USD),Fees Last 24hrs (ETH),Sector,,,,,,,,,,,,,
2,jaredfromsubway: MEV Bot 2,jaredfromsubway: MEV Bot 2,72'925.81,16.88,MEV Bot,,,,,,,,,,,,,
1,Tether: USDT Stablecoin,Tether: USDT Stablecoin,67'323.22,15.58,Stablecoin,,,,,,,,,,,,,
3,MEV Bot: 0xfBd...C37,MEV Bot: 0xfBd...C37,51'962.26,12.02,MEV Bot,,,,,,,,,,,,,
4,Circle: USDC Token,Circle: USDC Token,47'544.68,11,Stablecoin,,,,,,,,,,,,,
5,MEV Bot: 0x51C...a7F,MEV Bot: 0x51C...a7F,46'557.41,10.77,MEV Bot,,,,,,,,,,,,,
6,Banana Gun: Router 2,Banana Gun: Router 2,24'168.64,5.59,Trading Bot,,,,,,,,,,,,,
7,Metamask: Swap Router,Metamask: Swap Router,22'266.79,5.15,DEX Aggregator,,,,,,,,,,,,,
8,Uniswap V4: Universal Router,Uniswap V4: Universal Router,20'846.96,4.82,DEX,,,,,,,,,,,,,
9,OKX: DEX Router,OKX: DEX Router,13'379.23,3.1,DEX,,,,,,,,,,,,,
10,Seaport 1.6,Seaport 1.6,11'443.79,2.65,NFT Marketplace,,,,,,,,,,,,,
11,Coinbase 10,Coinbase 10,10'071.25,2.33,CEX,,,,,,,,,,,,,
12,0x: Allowance Holder,0x: Allowance Holder,9'312.66,2.16,DEX Protocol,,,,,,,,,,,,,
13,Uniswap V2: Router 2,Uniswap V2: Router 2,8'818.28,2.04,DEX,,,,,,,,,,,,,
14,1inch: Aggregation Router V6,1inch: Aggregation Router V6,8'679.72,2.01,DEX Aggregator,,,,,,,,,,,,,
15,Pendle: RouterV4,Pendle: RouterV4,8'201.78,1.9,DeFi,,,,,,,,,,,,,
16,Legion: YieldBasis Sale,Legion: YieldBasis Sale,7'518.87,1.74,DeFi,,,,,,,,,,,,,
17,0xBBbfD134...E7ab93d98,0xBBbfD134...E7ab93d98,6'903.30,1.6,Unknown,,,,,,,,,,,,,
18,CoW Protocol: GPv2Settlement,CoW Protocol: GPv2Settlement,6'627.50,1.53,DEX Protocol,,,,,,,,,,,,,
19,Li.Fi: LiFi Diamond,Li.Fi: LiFi Diamond,5'807.41,1.34,Bridge Aggregator,,,,,,,,,,,,,
20,MEV Bot: 0xA69...78C,MEV Bot: 0xA69...78C,5'338.92,1.24,MEV Bot,,,,,,,,,,,,,
21,Mimic: Swapper,Mimic: Swapper,5'093.30,1.18,DeFi,,,,,,,,,,,,,
22,Aave: Pool V3,Aave: Pool V3,4'786.07,1.11,Lending,,,,,,,,,,,,,
23,Relay: Router,Relay: Router,4'619.29,1.07,Cross-chain,,,,,,,,,,,,,
24,Binance: DEX Router,Binance: DEX Router,4'455.22,1.03,DEX,,,,,,,,,,,,,
25,Aggregation Router V5,Aggregation Router V5,4'356.53,1.01,DEX Aggregator,,,,,,,,,,,,,
26,Uniswap V3: Positions NFT,Uniswap V3: Positions NFT,4'119.11,0.95,DEX,,,,,,,,,,,,,
27,Entry Point 0.6.0,Entry Point 0.6.0,3'530.66,0.82,Account Abstraction,,,,,,,,,,,,,
28,deBridge: Crosschain Forwarder Proxy,deBridge: Crosschain Forwarder Proxy,3'526.34,0.82,Bridge,,,,,,,,,,,,,
29,Across Protocol: Ethereum Spoke Pool V2,Across Protocol: Ethereum Spoke Pool V2,3'134.26,0.73,Bridge,,,,,,,,,,,,,
30,MEV Bot: 0x000...e49,MEV Bot: 0x000...e49,3'121.85,0.72,MEV Bot,,,,,,,,,,,,,
31,0xDe63B920...25d1c8FA5,0xDe63B920...25d1c8FA5,3'079.84,0.71,Unknown,,,,,,,,,,,,,
32,Li.Fi: Permit2 Proxy 2,Li.Fi: Permit2 Proxy 2,2'485.28,0.58,Bridge Aggregator,,,,,,,,,,,,,
33,KyberSwap: Meta Aggregation Router v2,KyberSwap: Meta Aggregation Router v2,2'484.59,0.57,DEX Aggregator,,,,,,,,,,,,,
34,Entry Point 0.7.0,Entry Point 0.7.0,2'365.56,0.55,Account Abstraction,,,,,,,,,,,,,
35,ParaSwap: Augustus V6.2,ParaSwap: Augustus V6.2,2'244.67,0.52,DEX Aggregator,,,,,,,,,,,,,
36,Lighter: ZkLighter,Lighter: ZkLighter,2'090.53,0.48,DEX,,,,,,,,,,,,,
37,0xEe7aE85f...8D63b4055,0xEe7aE85f...8D63b4055,2'051.51,0.47,Unknown,,,,,,,,,,,,,
38,0x047669eB...e04BF095a,0x047669eB...e04BF095a,1'952.61,0.45,Unknown,,,,,,,,,,,,,
39,0xBEE3211a...17A8da000,0xBEE3211a...17A8da000,1'896.74,0.44,Unknown,,,,,,,,,,,,,
40,0xBC0663ef...51890cA45,0xBC0663ef...51890cA45,1'772.64,0.41,Unknown,,,,,,,,,,,,,
41,CoinTool: XEN Batch Minter,CoinTool: XEN Batch Minter,1'609.75,0.37,Utility,,,,,,,,,,,,,
42,Multicall3,Multicall3,1'551.91,0.36,Infrastructure,,,,,,,,,,,,,
43,Fake_Phishing1309278,Fake_Phishing1309278,1'477.06,0.34,Scam,,,,,,,,,,,,,